Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Tm,RA/G,Ptn%,HR%,SO%,BB%,SO-BB%,XBH%,X/H%,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Opp,DP,%,PAu,year
Oakland Athletics,34,29.2,4.16,97,65,.599,3.81,162,162,160,2,14,2,44,1465.2,1303,674,621,184,474,19,1237,53,2,86,6099,109,4.18,1.212,8.0,1.1,2.9,7.6,2.61,1028,Oakland Athletics,.236,.301,.392,.693,.271,3.0%,20.3%,7.8%,88.4,38.7%,24.6%,43.0%,23.3%,0.78,12.2,8.1%,61.3,Oakland Athletics,4.16,,162,6099,5517,674,1303,268,19,184,98,46,474,1237,.236,.301,.392,.693,.271,2161,110,53,23,30,19,55,Oakland Athletics,4.16,48%,3.0%,20.3%,7.8%,12.5%,7.7%,36%,0.78,1.05,68%,25%,8.7%,12%,1046,110,11%,0,2018
Philadelphia Phillies,31,26.8,4.49,80,82,.494,4.14,162,162,162,0,12,0,44,1445.2,1366,728,665,171,500,35,1465,60,7,81,6138,100,3.83,1.291,8.5,1.1,3.1,9.1,2.93,1073,Philadelphia Phillies,.249,.316,.407,.723,.306,2.8%,23.9%,8.2%,88.0,37.0%,24.2%,44.9%,21.5%,0.85,4.6,3.8%,-23.4,Philadelphia Phillies,4.49,,162,6138,5490,728,1366,292,32,171,100,35,500,1465,.249,.316,.407,.723,.306,2235,119,60,39,45,35,65,Philadelphia Phillies,4.49,54%,2.8%,23.9%,8.2%,15.7%,8.1%,36%,0.85,1.14,64%,24%,9.0%,12%,1031,119,12%,0,2018
Pittsburgh Pirates,24,26.5,4.30,82,79,.509,4.00,161,161,158,3,16,2,40,1434.0,1380,693,637,174,497,43,1336,69,6,95,6144,98,4.06,1.309,8.7,1.1,3.1,8.4,2.69,1149,Pittsburgh Pirates,.251,.319,.407,.726,.299,2.8%,21.7%,8.1%,88.9,39.1%,25.2%,43.4%,23.0%,0.79,2.5,-1.3%,-9.7,Pittsburgh Pirates,4.30,,161,6144,5506,693,1380,287,26,174,72,36,497,1336,.251,.319,.407,.726,.299,2241,98,69,37,35,43,67,Pittsburgh Pirates,4.30,48%,2.8%,21.7%,8.1%,13.7%,7.9%,35%,0.79,1.00,66%,25%,8.4%,10%,1188,98,8%,0,2018
San Diego Padres,30,27.7,4.73,66,96,.407,4.40,162,162,162,0,5,0,36,1457.0,1430,767,713,185,519,28,1399,68,4,52,6254,88,4.10,1.338,8.8,1.1,3.2,8.6,2.70,1116,San Diego Padres,.256,.324,.417,.742,.308,3.0%,22.4%,8.3%,88.8,39.7%,25.6%,44.0%,22.1%,0.81,-5.3,-1.0%,-83.8,San Diego Padres,4.73,,162,6254,5591,767,1430,283,32,185,88,30,519,1399,.256,.324,.417,.742,.308,2332,114,68,36,39,28,45,San Diego Padres,4.73,40%,3.0%,22.4%,8.3%,14.1%,8.0%,35%,0.81,1.12,65%,26%,9.0%,11%,1158,114,10%,0,2018
Seattle Mariners,32,29.0,4.39,89,73,.549,4.13,162,162,159,3,12,1,60,1448.2,1396,711,664,195,400,21,1328,72,3,57,6073,99,4.05,1.240,8.7,1.2,2.5,8.3,3.32,1016,Seattle Mariners,.252,.308,.418,.726,.296,3.2%,21.9%,6.6%,89.1,40.1%,24.9%,42.6%,24.6%,0.75,6.7,4.2%,5.5,Seattle Mariners,4.39,,162,6073,5545,711,1396,289,23,195,66,26,400,1328,.252,.308,.418,.726,.296,2316,131,72,12,42,21,56,Seattle Mariners,4.39,45%,3.2%,21.9%,6.6%,15.3%,8.4%,36%,0.75,0.99,67%,25%,9.1%,11%,1107,131,12%,0,2018
San Francisco Giants,27,28.6,4.31,73,89,.451,3.95,162,162,161,1,15,1,36,1461.1,1387,699,641,156,524,37,1269,45,4,44,6191,97,3.98,1.308,8.5,1.0,3.2,7.8,2.42,1108,San Francisco Giants,.251,.318,.404,.722,.297,2.5%,20.5%,8.5%,88.8,38.8%,25.6%,44.0%,21.2%,0.81,0.8,0.4%,-15.8,San Francisco Giants,4.31,,162,6191,5525,699,1387,291,42,156,93,31,524,1269,.251,.318,.404,.722,.297,2230,139,45,49,48,37,65,San Francisco Giants,4.31,41%,2.5%,20.5%,8.5%,12.0%,7.9%,35%,0.81,1.11,67%,26%,7.5%,12%,1121,139,12%,0,2018
St. Louis Cardinals,30,26.7,4.27,88,74,.543,3.85,162,162,161,1,8,1,43,1455.1,1354,691,622,144,593,49,1337,67,4,63,6271,101,3.97,1.338,8.4,0.9,3.7,8.3,2.25,1214,St. Louis Cardinals,.246,.324,.378,.702,.297,2.3%,21.3%,9.5%,87.6,36.1%,25.8%,44.3%,21.0%,0.83,0.4,-0.1%,2.3,St. Louis Cardinals,4.27,,162,6271,5506,691,1354,242,26,144,47,13,593,1337,.246,.324,.378,.702,.297,2080,129,67,55,50,49,78,St. Louis Cardinals,4.27,47%,2.3%,21.3%,9.5%,11.9%,6.6%,30%,0.83,1.11,65%,26%,7.1%,12%,1212,129,11%,0,2018
Tampa Bay Rays,31,27.1,3.99,90,72,.556,3.74,162,162,162,0,14,0,52,1448.1,1236,646,602,164,501,34,1421,53,6,55,5992,110,3.82,1.199,7.7,1.0,3.1,8.8,2.84,1001,Tampa Bay Rays,.230,.300,.377,.677,.279,2.7%,23.7%,8.4%,88.7,38.6%,23.8%,43.8%,24.1%,0.79,12.3,1.9%,75.3,Tampa Bay Rays,3.99,,162,5992,5382,646,1236,262,20,164,78,27,501,1421,.230,.300,.377,.677,.279,2030,121,53,16,39,34,48,Tampa Bay Rays,3.99,47%,2.7%,23.7%,8.4%,15.4%,7.4%,36%,0.79,1.03,64%,24%,8.4%,12%,1058,121,11%,0,2018
Texas Rangers,32,30.4,5.23,67,95,.414,4.92,162,162,161,1,5,0,42,1431.0,1516,848,783,222,491,23,1121,72,8,57,6231,97,4.79,1.403,9.5,1.4,3.1,7.1,2.28,1090,Texas Rangers,.271,.335,.464,.798,.301,3.6%,18.0%,7.9%,89.3,41.5%,25.5%,43.5%,23.2%,0.78,-6.8,-1.0%,-89.4,Texas Rangers,5.23,,162,6231,5597,848,1516,325,44,222,76,18,491,1121,.271,.335,.464,.798,.301,2595,146,72,20,50,23,74,Texas Rangers,5.23,41%,3.6%,18.0%,7.9%,10.1%,9.5%,39%,0.78,1.04,69%,25%,9.8%,11%,1180,146,12%,0,2018
Toronto Blue Jays,36,29.3,5.14,73,89,.451,4.85,162,162,162,0,3,0,39,1433.2,1476,832,772,208,551,19,1298,67,5,71,6265,88,4.53,1.414,9.3,1.3,3.5,8.1,2.36,1132,Toronto Blue Jays,.265,.335,.446,.782,.308,3.3%,20.7%,8.8%,88.7,39.4%,23.7%,42.7%,24.5%,0.76,-7.2,-1.2%,-110.2,Toronto Blue Jays,5.14,,162,6265,5578,832,1476,325,32,208,136,39,551,1298,.265,.335,.446,.782,.308,2489,117,67,18,48,19,55,Toronto Blue Jays,5.14,47%,3.3%,20.7%,8.8%,11.9%,9.0%,38%,0.76,0.97,66%,24%,9.8%,13%,1148,117,10%,0,2018
Washington Nationals,31,30.2,4.21,82,80,.506,4.04,162,162,160,2,7,1,40,1446.0,1320,682,649,198,487,37,1417,76,6,42,6087,106,4.15,1.250,8.2,1.2,3.0,8.8,2.91,1067,Washington Nationals,.242,.311,.411,.721,.289,3.3%,23.3%,8.0%,88.1,37.5%,23.7%,41.3%,24.8%,0.72,2.9,2.1%,34.7,Washington Nationals,4.21,,162,6087,5453,682,1320,273,26,198,75,43,487,1417,.242,.311,.411,.721,.289,2239,98,76,29,41,37,36,Washington Nationals,4.21,47%,3.3%,23.3%,8.0%,15.3%,8.2%,38%,0.72,0.94,64%,24%,9.8%,14%,1094,98,9%,0,2018
Arizona Diamondbacks,27,28.6,4.59,85,77,.525,4.25,162,162,162,0,11,0,45,1465.0,1400,743,691,220,516,38,1427,62,4,49,6230,105,4.40,1.308,8.6,1.4,3.2,8.8,2.77,1092,Arizona Diamondbacks,.251,.320,.432,.752,.298,3.5%,22.9%,8.3%,89.2,41.5%,25.7%,42.8%,23.3%,0.77,5.8,1.1%,36.0,Arizona Diamondbacks,4.59,,162,6230,5568,743,1400,289,29,220,47,31,516,1427,.251,.320,.432,.752,.298,2407,113,62,39,39,38,41,Arizona Diamondbacks,4.59,48%,3.5%,22.9%,8.3%,14.6%,8.6%,38%,0.77,1.09,64%,26%,10.5%,11%,1075,113,11%,0,2019
Atlanta Braves,32,27.5,4.59,97,65,.599,4.19,162,162,161,1,8,0,44,1450.2,1421,743,675,203,548,33,1393,69,3,70,6243,110,4.39,1.357,8.8,1.3,3.4,8.6,2.54,1148,Atlanta Braves,.256,.329,.419,.748,.305,3.3%,22.3%,8.8%,89.2,41.1%,25.2%,44.7%,22.1%,0.84,8.7,4.3%,46.2,Atlanta Braves,4.59,,162,6243,5557,743,1421,253,23,203,76,20,548,1393,.256,.329,.419,.748,.305,2329,134,69,39,27,33,42,Atlanta Braves,4.59,49%,3.3%,22.3%,8.8%,13.5%,7.7%,34%,0.84,1.14,64%,25%,10.0%,11%,1156,134,12%,0,2019
Baltimore Orioles,39,27.3,6.06,54,108,.333,5.59,162,162,162,0,5,0,27,1443.0,1544,981,897,305,561,11,1248,80,6,75,6396,84,5.56,1.459,9.6,1.9,3.5,7.8,2.22,1086,Baltimore Orioles,.271,.342,.497,.839,.296,4.8%,19.5%,8.8%,89.8,42.1%,25.8%,40.4%,25.6%,0.68,-15.6,-0.9%,-184.9,Baltimore Orioles,6.06,,162,6396,5697,981,1544,311,31,305,82,25,561,1248,.271,.342,.497,.839,.296,2832,134,80,10,46,11,59,Baltimore Orioles,6.06,51%,4.8%,19.5%,8.8%,10.7%,10.1%,42%,0.68,0.93,66%,26%,13.0%,12%,1203,134,11%,0,2019
Boston Red Sox,28,29.0,5.11,84,78,.519,4.70,162,162,161,1,8,1,33,1471.0,1423,828,768,215,605,22,1633,76,6,81,6400,104,4.28,1.379,8.7,1.3,3.7,10.0,2.70,1159,Boston Red Sox,.251,.330,.431,.761,.314,3.4%,25.5%,9.5%,88.8,39.1%,24.9%,42.7%,24.5%,0.76,1.8,-0.5%,0.9,Boston Red Sox,5.11,,162,6400,5660,828,1423,319,26,215,70,31,605,1633,.251,.330,.431,.761,.314,2439,97,76,18,38,22,47,Boston Red Sox,5.11,42%,3.4%,25.5%,9.5%,16.1%,8.8%,39%,0.76,1.04,60%,25%,10.5%,11%,1189,97,8%,0,2019
Chicago Cubs,33,31.1,4.43,84,78,.519,4.10,162,162,161,1,10,1,38,1442.0,1376,717,657,195,534,16,1444,80,1,60,6190,108,4.25,1.325,8.6,1.2,3.3,9.0,2.70,1147,Chicago Cubs,.251,.323,.414,.738,.303,3.2%,23.3%,8.6%,89.0,40.5%,26.0%,45.3%,21.2%,0.85,1.3,1.2%,44.5,Chicago Cubs,4.43,,162,6190,5492,717,1376,265,25,195,91,25,534,1444,.251,.323,.414,.738,.303,2276,133,80,29,49,16,55,Chicago Cubs,4.43,42%,3.2%,23.3%,8.6%,14.7%,7.8%,35%,0.85,1.23,63%,26%,9.9%,11%,1124,133,12%,0,2019
Chicago White Sox,27,27.6,5.17,72,89,.447,4.90,161,161,155,6,7,2,33,1412.2,1438,832,769,238,582,30,1312,51,5,71,6159,94,4.89,1.430,9.2,1.5,3.7,8.4,2.25,1089,Chicago White Sox,.263,.337,.452,.789,.303,3.9%,21.3%,9.5%,89.2,40.7%,26.2%,42.6%,22.5%,0.76,-4.1,-1.6%,-61.3,Chicago White Sox,5.17,,161,6159,5466,832,1438,278,19,238,76,26,582,1312,.263,.337,.452,.789,.303,2468,149,51,20,38,30,63,Chicago White Sox,5.17,48%,3.9%,21.3%,9.5%,11.9%,8.7%,37%,0.76,1.09,64%,26%,11.4%,12%,1182,149,13%,0,2019
Cincinnati Reds,26,28.2,4.39,75,87,.463,4.18,162,162,162,0,10,0,46,1438.0,1270,711,668,214,536,31,1552,58,8,35,6057,112,4.23,1.256,7.9,1.3,3.4,9.7,2.90,1032,Cincinnati Reds,.235,.310,.410,.719,.289,3.5%,25.6%,8.9%,88.3,37.4%,24.0%,44.0%,23.7%,0.81,7.4,1.5%,66.0,Cincinnati Reds,4.39,,162,6057,5395,711,1270,260,19,214,88,26,536,1552,.235,.310,.410,.719,.289,2210,105,58,36,31,31,44,Cincinnati Reds,4.39,52%,3.5%,25.6%,8.9%,16.8%,8.1%,39%,0.81,1.13,60%,24%,11.3%,11%,996,105,11%,0,2019
Cleveland Indians,30,28.3,4.06,93,69,.574,3.76,162,162,156,6,16,5,42,1437.2,1308,657,601,207,450,19,1508,62,2,42,6008,125,4.06,1.223,8.2,1.3,2.8,9.4,3.35,1038,Cleveland Indians,.240,.304,.419,.723,.293,3.5%,25.1%,7.5%,89.0,40.6%,25.8%,39.8%,25.5%,0.67,14.4,11.6%,148.4,Cleveland Indians,4.06,,162,6008,5449,657,1308,315,20,207,53,28,450,1508,.240,.304,.419,.723,.293,2284,89,62,17,30,19,43,Cleveland Indians,4.06,54%,3.5%,25.1%,7.5%,17.6%,9.0%,41%,0.67,0.86,63%,26%,10.1%,13%,996,89,9%,0,2019
Colorado Rockies,31,27.3,5.91,71,91,.438,5.56,162,162,161,1,5,1,28,1448.2,1576,958,895,270,589,33,1264,57,7,63,6423,93,5.23,1.494,9.8,1.7,3.7,7.9,2.15,1119,Colorado Rockies,.277,.348,.492,.840,.311,4.2%,19.7%,9.2%,90.1,43.6%,25.8%,45.7%,21.8%,0.87,-7.9,-2.5%,-135.8,Colorado Rockies,5.91,,162,6423,5692,958,1576,325,44,270,75,30,589,1264,.277,.348,.492,.840,.311,2799,139,57,42,43,33,57,Colorado Rockies,5.91,50%,4.2%,19.7%,9.2%,10.5%,10.0%,41%,0.87,1.33,65%,26%,12.4%,8%,1251,139,11%,0,2019
Detroit Tigers,32,27.8,5.68,47,114,.292,5.24,161,161,161,0,3,0,31,1433.0,1555,915,835,250,536,24,1368,69,7,66,6341,91,4.84,1.459,9.8,1.6,3.4,8.6,2.55,1127,Detroit Tigers,.275,.342,.478,.820,.319,3.9%,21.6%,8.5%,89.9,42.1%,24.5%,42.5%,24.6%,0.76,-12.0,0.2%,-122.5,Detroit Tigers,5.68,,161,6341,5664,915,1555,315,44,250,97,37,536,1368,.275,.342,.478,.820,.319,2708,107,69,25,46,24,59,Detroit Tigers,5.68,40%,3.9%,21.6%,8.5%,13.1%,9.6%,39%,0.76,1.00,65%,25%,11.4%,11%,1184,107,9%,0,2019
Houston Astros,26,29.9,3.95,107,55,.660,3.66,162,162,160,2,14,1,47,1462.1,1205,640,595,230,448,0,1671,41,8,41,5995,127,3.98,1.130,7.4,1.4,2.8,10.3,3.73,968,Houston Astros,.221,.283,.397,.681,.272,3.8%,27.9%,7.5%,88.5,38.5%,23.7%,43.5%,25.0%,0.78,19.4,9.7%,179.3,Houston Astros,3.95,,162,5995,5461,640,1205,233,21,230,75,17,448,1671,.221,.283,.397,.681,.272,2170,83,41,11,30,0,34,Houston Astros,3.95,46%,3.8%,27.9%,7.5%,20.4%,8.1%,40%,0.78,1.03,60%,24%,12.2%,12%,957,83,9%,0,2019
Kansas City Royals,30,27.9,5.36,59,103,.364,5.20,162,162,161,1,7,1,37,1425.0,1525,869,824,221,582,25,1230,81,5,59,6307,92,4.90,1.479,9.6,1.4,3.7,7.8,2.11,1163,Kansas City Royals,.273,.348,.456,.804,.312,3.5%,19.5%,9.2%,90.2,43.0%,25.9%,43.8%,23.4%,0.79,-9.5,-1.7%,-77.6,Kansas City Royals,5.36,,162,6307,5576,869,1525,299,28,221,57,27,582,1230,.273,.348,.456,.804,.312,2543,133,81,18,49,25,42,Kansas City Royals,5.36,45%,3.5%,19.5%,9.2%,10.3%,8.7%,36%,0.79,1.07,66%,26%,10.0%,10%,1343,133,10%,0,2019
Los Angeles Angels,32,27.0,5.36,72,90,.444,5.12,162,162,162,0,2,0,32,1442.2,1417,868,820,267,576,11,1404,82,9,98,6289,91,5.04,1.381,8.8,1.7,3.6,8.8,2.44,1093,Los Angeles Angels,.254,.331,.459,.789,.291,4.3%,22.3%,9.2%,89.3,40.5%,25.9%,40.5%,25.3%,0.69,-3.3,-0.9%,-73.1,Los Angeles Angels,5.36,,162,6289,5575,868,1417,284,28,267,99,35,576,1404,.254,.331,.459,.789,.291,2558,106,82,12,43,11,50,Los Angeles Angels,5.36,47%,4.3%,22.3%,9.2%,13.2%,9.2%,41%,0.69,0.94,63%,26%,12.2%,11%,1123,106,9%,0,2019
Los Angeles Dodgers,26,28.9,3.78,106,56,.654,3.37,162,162,159,3,18,1,44,1445.2,1201,613,541,185,392,24,1519,66,7,40,5913,123,3.73,1.102,7.5,1.2,2.4,9.5,3.88,963,Los Angeles Dodgers,.223,.282,.379,.661,.273,3.1%,25.7%,6.6%,87.6,35.9%,24.1%,44.2%,22.3%,0.82,13.2,5.4%,144.1,Los Angeles Dodgers,3.78,,162,5913,5387,613,1201,239,24,185,63,17,392,1519,.223,.282,.379,.661,.273,2043,106,66,30,36,24,60,Los Angeles Dodgers,3.78,43%,3.1%,25.7%,6.6%,19.1%,7.6%,37%,0.82,1.12,63%,24%,10.0%,13%,1002,106,11%,0,2019
Miami Marlins,26,26.5,4.99,57,105,.352,4.74,162,162,160,2,8,2,27,1444.1,1340,808,760,236,615,52,1378,90,6,71,6247,91,4.89,1.354,8.3,1.5,3.8,8.6,2.24,1106,Miami Marlins,.245,.329,.435,.764,.283,3.8%,22.1%,9.8%,88.8,39.5%,24.3%,38.3%,27.0%,0.64,-6.5,-0.2%,-64.7,Miami Marlins,4.99,,162,6247,5473,808,1340,281,27,236,57,24,615,1378,.245,.329,.435,.764,.283,2383,113,90,29,39,52,45,Miami Marlins,4.99,48%,3.8%,22.1%,9.8%,12.2%,8.7%,41%,0.64,0.85,62%,24%,10.9%,14%,1144,113,10%,0,2019
Milwaukee Brewers,30,28.7,4.73,89,73,.549,4.40,162,162,162,0,7,0,50,1459.1,1364,766,713,225,570,28,1497,60,3,41,6251,102,4.46,1.325,8.4,1.4,3.5,9.2,2.63,1107,Milwaukee Brewers,.246,.321,.425,.747,.296,3.6%,24.0%,9.1%,88.1,38.4%,25.2%,41.8%,23.0%,0.74,6.8,4.5%,11.8,Milwaukee Brewers,4.73,,162,6251,5542,766,1364,247,36,225,94,34,570,1497,.246,.321,.425,.747,.296,2358,108,60,43,34,28,54,Milwaukee Brewers,4.73,51%,3.6%,24.0%,9.1%,14.8%,8.1%,37%,0.74,1.00,62%,25%,11.1%,13%,1171,108,9%,0,2019
Minnesota Twins,31,28.2,4.65,101,61,.623,4.18,162,162,161,1,10,0,50,1463.1,1456,754,680,198,452,10,1463,61,5,71,6246,109,4.02,1.304,9.0,1.2,2.8,9.0,3.24,1102,Minnesota Twins,.257,.316,.419,.736,.311,3.2%,23.4%,7.2%,88.6,39.0%,25.9%,41.5%,23.8%,0.73,9.9,5.6%,48.1,Minnesota Twins,4.65,,162,6246,5671,754,1456,282,23,198,71,16,452,1463,.257,.316,.419,.736,.311,2378,107,61,20,40,10,59,Minnesota Twins,4.65,47%,3.2%,23.4%,7.2%,16.2%,8.1%,35%,0.73,0.98,65%,26%,9.2%,12%,1144,107,9%,0,2019
New York Mets,30,28.6,4.55,86,76,.531,4.24,162,162,159,3,12,3,38,1461.0,1405,737,688,204,500,40,1520,60,2,47,6232,97,4.10,1.304,8.7,1.3,3.1,9.4,3.04,1112,New York Mets,.251,.317,.418,.735,.307,3.3%,24.4%,8.0%,87.8,37.1%,24.8%,42.8%,23.8%,0.77,1.4,-1.2%,7.4,New York Mets,4.55,,162,6232,5601,737,1405,287,19,204,139,22,500,1520,.251,.317,.418,.735,.307,2342,116,60,35,35,40,52,New York Mets,4.55,50%,3.3%,24.4%,8.0%,16.4%,8.2%,36%,0.77,1.06,63%,25%,10.1%,13%,1143,116,10%,0,2019
New York Yankees,33,30.2,4.56,103,59,.636,4.31,162,162,161,1,9,1,50,1443.0,1374,739,691,248,507,12,1534,44,5,55,6133,104,4.47,1.304,8.6,1.5,3.2,9.6,3.03,1065,New York Yankees,.248,.314,.439,.754,.297,4.0%,25.0%,8.3%,88.9,40.3%,24.1%,42.5%,24.7%,0.74,8.5,4.8%,46.6,New York Yankees,4.56,,162,6133,5535,739,1374,277,18,248,71,24,507,1534,.248,.314,.439,.754,.297,2431,119,44,7,36,12,48,New York Yankees,4.56,41%,4.0%,25.0%,8.3%,16.8%,8.9%,40%,0.74,0.99,62%,24%,12.4%,13%,1073,119,11%,0,2019
Oakland Athletics,28,30.8,4.20,97,65,.599,3.97,162,162,161,1,12,1,45,1465.0,1342,680,646,201,477,19,1299,66,4,74,6153,109,4.34,1.242,8.2,1.2,2.9,8.0,2.72,1078,Oakland Athletics,.242,.308,.404,.712,.279,3.3%,21.1%,7.8%,88.5,39.0%,24.2%,41.1%,23.9%,0.71,9.0,5.1%,103.2,Oakland Athletics,4.20,,162,6153,5541,680,1342,249,23,201,83,41,477,1299,.242,.308,.404,.712,.279,2240,114,66,25,42,19,49,Oakland Athletics,4.20,47%,3.3%,21.1%,7.8%,13.4%,7.7%,35%,0.71,0.93,66%,24%,9.5%,15%,1122,114,10%,0,2019
Philadelphia Phillies,34,28.4,4.90,81,81,.500,4.53,162,162,159,3,7,1,36,1453.2,1452,794,731,258,546,38,1392,71,7,45,6274,99,4.88,1.374,9.0,1.6,3.4,8.6,2.55,1119,Philadelphia Phillies,.261,.332,.453,.785,.301,4.1%,22.2%,8.7%,88.8,39.5%,25.7%,42.7%,23.3%,0.77,1.7,-0.1%,-20.3,Philadelphia Phillies,4.90,,162,6274,5571,794,1452,249,23,258,66,50,546,1392,.261,.332,.453,.785,.301,2521,116,71,46,40,38,58,Philadelphia Phillies,4.90,52%,4.1%,22.2%,8.7%,13.5%,8.5%,37%,0.77,1.08,63%,26%,12.2%,11%,1179,116,10%,0,2019
Pittsburgh Pirates,34,27.2,5.62,69,93,.426,5.18,162,162,161,1,6,0,31,1440.0,1511,911,829,241,584,22,1443,85,4,50,6391,84,4.78,1.455,9.4,1.5,3.7,9.0,2.47,1160,Pittsburgh Pirates,.268,.343,.470,.813,.318,3.8%,22.6%,9.1%,89.0,40.5%,25.4%,41.7%,24.1%,0.74,-11.6,-3.3%,-155.7,Pittsburgh Pirates,5.62,,162,6391,5648,911,1511,351,34,241,71,29,584,1443,.268,.343,.470,.813,.318,2653,114,85,34,36,22,61,Pittsburgh Pirates,5.62,50%,3.8%,22.6%,9.1%,13.4%,9.8%,41%,0.74,1.08,63%,25%,11.2%,11%,1240,114,9%,0,2019
San Diego Padres,34,26.3,4.87,70,92,.432,4.60,162,162,162,0,6,0,47,1432.0,1394,789,732,215,463,19,1475,68,6,60,6160,91,4.22,1.297,8.8,1.4,2.9,9.3,3.19,1075,San Diego Padres,.251,.315,.430,.744,.303,3.5%,23.9%,7.5%,88.6,39.3%,24.6%,42.7%,24.6%,0.77,-0.7,0.9%,-51.5,San Diego Padres,4.87,,162,6160,5551,789,1394,302,22,215,58,18,463,1475,.251,.315,.430,.744,.303,2385,86,68,43,35,19,57,San Diego Padres,4.87,41%,3.5%,23.9%,7.5%,16.4%,8.8%,39%,0.77,1.01,63%,25%,10.4%,10%,1055,86,8%,0,2019
Seattle Mariners,42,28.6,5.51,68,94,.420,4.99,162,162,159,3,4,2,34,1439.1,1484,893,798,260,505,25,1239,51,4,75,6268,88,5.00,1.382,9.3,1.6,3.2,7.7,2.45,1057,Seattle Mariners,.263,.326,.469,.795,.291,4.2%,19.8%,8.1%,89.8,41.7%,25.2%,43.6%,23.4%,0.78,-9.9,-2.8%,-125.3,Seattle Mariners,5.51,,162,6268,5652,893,1484,336,24,260,83,26,505,1239,.263,.326,.469,.795,.291,2648,132,51,12,46,25,77,Seattle Mariners,5.51,41%,4.2%,19.8%,8.1%,11.7%,9.9%,42%,0.78,1.05,67%,25%,11.8%,12%,1110,132,12%,0,2019
San Francisco Giants,35,28.9,4.77,77,85,.475,4.38,162,162,161,1,8,0,41,1469.0,1395,773,715,227,519,26,1368,65,4,53,6256,96,4.55,1.303,8.5,1.4,3.2,8.4,2.64,1076,San Francisco Giants,.249,.318,.428,.746,.289,3.6%,21.9%,8.3%,89.7,41.6%,24.7%,41.6%,24.5%,0.74,7.2,1.7%,-12.7,San Francisco Giants,4.77,,162,6256,5597,773,1395,244,37,227,88,33,519,1368,.249,.318,.428,.746,.289,2394,124,65,41,33,26,55,San Francisco Giants,4.77,45%,3.6%,21.9%,8.3%,13.6%,8.1%,36%,0.74,1.02,65%,25%,10.5%,11%,1167,124,11%,0,2019
St. Louis Cardinals,23,27.8,4.09,91,71,.562,3.80,162,162,161,1,14,1,52,1444.0,1284,662,609,191,545,41,1399,69,4,46,6068,110,4.27,1.267,8.0,1.2,3.4,8.7,2.57,1074,St. Louis Cardinals,.238,.314,.397,.711,.285,3.2%,23.1%,9.0%,88.5,38.4%,24.9%,44.9%,22.0%,0.83,9.5,8.2%,89.0,St. Louis Cardinals,4.09,,162,6068,5389,662,1284,246,19,191,34,19,545,1399,.238,.314,.397,.711,.285,2141,139,69,27,38,41,39,St. Louis Cardinals,4.09,54%,3.2%,23.1%,9.0%,14.1%,7.5%,36%,0.83,1.19,63%,25%,9.9%,11%,1146,139,12%,0,2019
Tampa Bay Rays,33,27.8,4.05,96,66,.593,3.65,162,162,162,0,12,0,46,1474.1,1274,656,598,181,453,27,1621,60,7,59,6086,120,3.65,1.171,7.8,1.1,2.8,9.9,3.58,1007,Tampa Bay Rays,.230,.294,.386,.680,.291,3.0%,26.6%,7.4%,88.2,37.1%,24.6%,43.6%,22.2%,0.79,17.1,13.4%,138.2,Tampa Bay Rays,4.05,,162,6086,5531,656,1274,264,26,181,75,35,453,1621,.230,.294,.386,.680,.291,2133,107,60,11,28,27,52,Tampa Bay Rays,4.05,45%,3.0%,26.6%,7.4%,19.2%,7.7%,37%,0.79,1.08,62%,25%,9.6%,13%,1061,107,10%,0,2019
Texas Rangers,36,28.3,5.42,78,84,.481,5.06,162,162,158,4,9,1,33,1438.0,1515,878,808,241,583,11,1379,70,3,68,6354,102,4.84,1.459,9.5,1.5,3.6,8.6,2.37,1162,Texas Rangers,.269,.342,.464,.806,.314,3.8%,21.7%,9.2%,89.0,40.1%,25.3%,41.7%,24.7%,0.73,0.8,0.4%,-47.8,Texas Rangers,5.42,,162,6354,5629,878,1515,310,32,241,81,26,583,1379,.269,.342,.464,.806,.314,2612,131,70,19,50,11,54,Texas Rangers,5.42,45%,3.8%,21.7%,9.2%,12.5%,9.2%,39%,0.73,0.96,64%,25%,11.0%,11%,1293,131,10%,0,2019
